Category	Title	Location	Link
Development & Engineering	Frontend Engineer	New York/Remote	https://boards.greenhouse.io/tqtezos/jobs/4206192003
Development & Engineering	Protocol Engineer	London/New York/Remote	https://boards.greenhouse.io/tqtezos/jobs/4206233003
Development & Engineering	Senior Software Engineer	New York	https://boards.greenhouse.io/tqtezos/jobs/4205842003
Development & Engineering	Software Engineer	Paris/Remote	https://nomadic-labs.com/download/software-engineer.pdf
Development & Engineering	Technical Product Manager	London/New York/Remote	https://boards.greenhouse.io/tqtezos/jobs/4206293003
Development & Engineering	Backend Developer	Zug, Switzerland	https://papers.join.com/jobs/1866615-backend-developer-100?widgetv2=true&pid=d73d1a20e99ab4ced633
Development & Engineering	Frontend Developer	Zug, Switzerland	https://papers.join.com/jobs/1868327-frontend-developer-100?widgetv2=true&pid=d73d1a20e99ab4ced633
Development & Engineering	Full Stack Developer	Zug, Switzerland	https://papers.join.com/jobs/1862157-full-stack-developer-100?widgetv2=true&pid=d73d1a20e99ab4ced633
Development & Engineering	Mobile Engineer	Zug, Switzerland	https://papers.join.com/jobs/1874122-mobile-engineer-100?widgetv2=true&pid=d73d1a20e99ab4ced633
Development & Engineering	Smart Contract Engineer	Zug, Switzerland	https://papers.join.com/jobs/1862614-smart-contract-engineer-100?widgetv2=true&pid=d73d1a20e99ab4ced633
Development & Engineering	Frontend Developer	US/Remote	https://www.linkedin.com/jobs/view/2456271291/
Communications & Marketing	Social Media Manager	New York	https://boards.greenhouse.io/tqtezos/jobs/4206241003
Communications & Marketing	Content and Design Specialist	Singapore	https://www.linkedin.com/jobs/view/2440604272/
Operations	Recruiting Coordinator	New York	https://boards.greenhouse.io/tqtezos/jobs/4418236003
Operations	Junior Accountant	New York	https://boards.greenhouse.io/tqtezos/jobs/4383599003
Operations	Executive Assistant (InterPop)	New York/Remote	https://boards.greenhouse.io/tqtezos/jobs/4410355003
