Category	Title	Location	Link
Development & Engineering	Ingénieur Frontend	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4206192003
Development & Engineering	Ingénieur du protocole	London/New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4206233003
Development & Engineering	Ingénieur logiciel senior	New York	https://boards.greenhouse.io/tqtezos/jobs/4205842003
Development & Engineering	Ingénieur logiciel 	Paris/A distance	https://nomadic-labs.com/download/software-engineer.pdf
Development & Engineering	Chef de produit technique	London/New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4206293003
Development & Engineering	Ingénieur mobile	Zug, Suisse	https://papers.join.com/jobs/1874122-mobile-engineer-100?widgetv2=true&pid=d73d1a20e99ab4ced633
Development & Engineering	Directeur de l'ingénierie	New York	https://boards.greenhouse.io/tqtezos/jobs/4351600003
Development & Engineering	Ingénieur de l'infrastructure	A distance / US / Allemagne	https://blockwatch.cc/blog/jobs-infrastructure-engineer-03-2021
Development & Engineering	Ingénieur frontend senior	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4551081003
Communications & Marketing	Administrateur Blokhaus	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4538821003
Communications & Marketing	Graphiste	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4538804003
Communications & Marketing	Assistant de production, créatif	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4538792003
Communications & Marketing	Social Media Specialiste	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4538791003
Communications & Marketing	Responsable senior PR & Communications	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4538780003
Communications & Marketing	Manager senior Marketing produit, Ecosystème	New York/A distance	https://boards.greenhouse.io/tqtezos/jobs/4538785003
Operations	Directeur artistique chargé des commandes, Emergents	New York	https://boards.greenhouse.io/tqtezos/jobs/4546220003
